Course_Code,Course_Title,Hours,Prerequisites,Coreq,Semester,Other_Pre-req,Other_Co-req
ART 492,Student Research in Art,"Hours:, 0 classroom + 0 lab/studio",[],[],Fall and spring,Consent of department.,
CHP 322,Healthcare for Hispanic Populations,"Hours:, 3 Classroom + 0 Lab Studio",[],[],"Variable, check with department",Sophomore standing,
CHP 492,Scholarly Inquiry in a Health Discipline  (0-3 credits),"Hours:, Variable",[],[],"Variable, check with department",Junior standing in a health profession program.,
DAN 130,Pilates Mat I  (3 credit hours),"Hours:, 0 classroom / 3 lab+studio hours",[],[],"Variable, check with department",,
DAN 492,Student Research in Dance,"Hours:, 0 classroom + 0 lab/studio",[],[],Fall and spring,Consent of program,
HHS 500,Teaching & Learning in Healthcare Educat,"Hours:, 3 classroom + 0 lab/studio",[],[],Not Provided,Senior standing or admission to the MSN program. ,
SCI 393,STEM Peer Mentors  (0-1 credit),"Hours:, 1 classroom + 0 lab/studio",[],[],Fall and spring,"Completion of first year coursework within a STEM major, 3.0 GPA or higher within a major, and consent of instructor.",
DFX 221,Visual Fundamentals for Digital Media,"Hours:, 2 classroom + 1 lab/studio",['EMB 140'],[],Fall and spring,EMB 140  with a C or better.,
DFX 222,Visual Techniques for 3D  (3 Credits),"Hours:, 1 classroom + 2 lab/studio",[],[],Fall and Spring,,
DFX 240,Introduction to Interactive Media,"Hours:, 2 classroom + 1 lab/studio",[],[],Fall and spring,,
DFX 244,Principles of Digital 3D Animation,"Hours:, 2 classroom + 1 lab/studio",['EMB 140'],[],Fall and spring,Completion of EMB 140  with a C or better.,
DFX 245,3D Modeling Fundamentals,"Hours:, 2 classroom + 1 lab/studio","['DFX 221', 'ART 140']",[],Fall and spring,,
DFX 250,Analog Game Design,"Hours:, 1 classroom + 2 lab/studio",[],[],Spring only,,
DFX 252,Non-Linear Interactive Storytelling,"Hours:, 1 classroom + 2 lab/studio",[],[],Fall,,
DFX 294,Special Introductory Topics,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
DFX 307,3D Lighting and Texturing,"Hours:, 2 classroom + 1 lab/studio",['DFX 245'],[],Spring only,DFX 222 or DFX 245  with a C or better.,
DFX 309,3D Hard Surface Modeling,"Hours:, 1 classroom + 2 lab/studio",['DFX 245'],[],Fall only,DFX 245  with a C or better.,
