Course Code,Course Title,Hours,Prerequisites
MUS 107,Survey of African-American Music,"Hours:, 3 classroom + 0 lab/studio",
MUS 108,History of Rock and Roll - SB,"Hours:, 3 classroom + 0 lab/studio",
MUS 109,History of American Popular Music,"Hours:, 3 classroom + 0 lab/studio",
MUS 110,Appreciation of Jazz - SB,"Hours:, 3 classroom + 0 lab/studio",
MUS 135,Class Piano for Non-Music Students I  (1 credit),"Hours:, 0 classroom + 3 lab/studio",
MUS 136,Class Piano for Non-Music Students II  (1 credit),"Hours:, 0 classroom + 3 lab/studio","MUS 135  or 1 or more years of private piano study, or consent of instructor., MUS 135"
MUS 148,Group Guitar  (1 credit),"Hours:, 0 classroom + 2 lab/studio",
MUS 159,Music Education Field Work,"Hours:, 0 classroom + 0 lab/studio",
MUS 201,Music and the Moving Image - AH,"Hours:, 3 classroom + 0 lab/studio",
MUS 260,Music Fundamentals and Skills for Classroom Teachers,"Hours:, 3 classroom + 0 lab/studio",EDU 104
,,"Hours:, 3 classroom + 0 lab/studio",ENG 101
MUS 492,Student Research in Music,"Hours:, 0 classroom + 0 lab/studio",Consent of department.
MUSA 101,Applied Flute  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 102,Applied Oboe  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 103,Applied Clarinet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 104,Applied Bassoon  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 105,Applied Saxophone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 110,Applied French Horn  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 111,Applied Trumpet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 112,Applied Trombone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 113,Applied Music: Euphonium  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 114,Applied Music: Tuba  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 120,Applied Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 121,Applied Organ  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 122,Applied Harpsichord  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 123,Applied Harp  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 124,Applied Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 125,Applied Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 126,Applied Secondary Percussion  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 130,Applied Violin  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 131,Applied Viola  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 132,Applied Cello  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 133,Applied Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 140,Applied Voice  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 150,Applied Jazz Saxophone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 151,Applied Jazz Trumpet  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 152,Applied Jazz Trombone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 153,Applied Jazz Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 154,Applied Jazz Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 155,Applied Jazz Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 156,Applied Jazz Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 157,Applied Jazz Voice  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 196,Freshman Proficiency Jury,"Hours:, 0 classroom + 0 lab/studio",
MUSA 201,Applied Flute  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 202,Applied Oboe  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 203,Applied Clarinet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 204,Applied Bassoon  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 205,Applied Saxophone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 210,Applied French Horn  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 211,Applied Trumpet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 212,Applied Trombone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 213,Applied Euphonium  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 214,Applied Tuba  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 220,Applied Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 221,Applied Organ  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 222,Applied Harpsichord  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 223,Applied Harp  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 224,Applied Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
